BLTH;NAMA GARDU;prabayar;;;paska;;;total;;;kapasitas;tanggal pengukuran;beban;% pembebanan;Kategori HI
;;daya;transaksi;kwh;daya;plg;kwh;daya tersambung total (kVa);Jumlah Pelanggan tersambung total;kWh Jual;;;;;
;;;;;;;;;;;;;;;
Jan-23;BB525;0;0;0;66000;1;5557;;1;5557;160;31/1/2023;50,778;32%;Baik
Jan-23;BB547;46600;10;2056,4;229000;19;26665;;29;28721,4;200;3/1/2023;62,659;31%;Baik
Jan-23;BB548;0;0;0;184700;14;43353;;14;43353;100;3/1/2023;53,207;53%;Baik
Jan-23;BB557;22100;10;1657,4;244200;30;52017;;40;53674,4;200;12/1/2023;94,53;47%;Baik
Jan-23;BB559;415900;416;18225,9;63950;174;47740;;590;65965,9;160;31/1/2023;78,375;49%;Baik
Jan-23;BB566;0;0;0;207600;2;16259;;2;16259;200;27/1/2023;33,621;17%;Baik
Jan-23;BB589;247000;59;13723,9;300900;81;124743;;140;138466,9;100;10/1/2023;133,015;133%;Buruk
Jan-23;BB590;210000;31;20271,4;167300;41;57004;;72;77275,4;250;10/1/2023;164,729;66%;Cukup
Jan-23;BB591;0;0;0;16100;3;3517;;3;3517;100;10/1/2023;122,606;123%;Buruk
Jan-23;BB598;135750;31;8361,4;513650;41;57069;;72;65430,4;250;31/1/2023;15,18;6%;Baik
Jan-23;BB617;126500;120;6596,7;70300;51;10534;;171;17130,7;50;31/1/2023;41,888;84%;Kurang
Jan-23;BB631;0;0;0;147000;1;7339;;1;7339;200;27/1/2023;31,229;16%;Baik
Jan-23;BB635;0;0;0;164000;1;23877;;1;23877;200;10/1/2023;15,962;8%;Baik
Jan-23;BB652;41800;4;3955,8;117900;17;13794;;21;17749,8;100;3/1/2023;57,725;58%;Baik
Jan-23;BB653;0;0;0;55300;17;13356;;17;13356;200;3/1/2023;34,021;17%;Baik
Jan-23;BB654;16700;4;3590,8;197800;30;29743;;34;33333,8;200;3/1/2023;38,495;19%;Baik
Jan-23;BB657;0;0;0;53000;1;2323;;1;2323;100;26/1/2023;47,632;48%;Baik
